Absolute_Position,Normalized_Position,Utterance_Length,Utterance_Length_Unique,Utterance_Length_Stemmed_Unique,Is_Starter,Thank,Exclamation_Mark,Feedback,Sentiment_Scores_NEG,Sentiment_Scores_NEU,Sentiment_Scores_POS,Opinion_Lexicon_POS,Opinion_Lexicon_NEG,Initial_Utterance_Similarity,Dialog_Similarity,Question_Mark,Duplicate,What,Where,When,Why,Who,How,label
1,0.3333333333333333,28,26,26,True,False,False,False,0.135,0.7,0.165,0,1,1.000000000000001,0.07392420157889046,False,False,0,0,0,0,0,0,OQ
2,0.6666666666666666,60,54,52,False,False,False,False,0.0,0.9520000000000001,0.048,1,0,0.04459426697335831,0.036708815541089235,False,False,0,0,0,0,0,0,PA
3,1.0,7,7,7,True,False,False,False,0.0,1.0,0.0,0,1,0.1103365656212854,0.06177564180077831,False,False,0,0,0,0,0,0,PF
1,0.2,58,46,44,True,False,False,False,0.040999999999999995,0.795,0.16399999999999998,3,2,0.9999999999999996,0.2337080497547057,False,False,0,1,1,0,1,0,IR
2,0.4,262,162,142,False,True,False,False,0.006999999999999999,0.845,0.14800000000000002,3,3,0.2239913370776395,0.4320810073412759,False,False,0,1,0,0,0,0,PA PF
3,0.6,16,13,11,True,True,False,False,0.09,0.569,0.341,1,1,0.0846309118630607,0.2089011734570991,False,False,0,0,0,0,0,0,PF
4,0.8,28,23,20,False,True,False,False,0.0,0.652,0.348,2,1,0.08122949279564265,0.3497006807548492,False,False,0,0,0,0,0,0,PF
5,1.0,23,22,22,False,False,True,False,0.254,0.6729999999999999,0.073,1,2,0.01628503053502867,0.1245689102736636,False,False,1,0,0,0,0,0,NF
1,0.2,42,31,30,True,False,False,False,0.083,0.917,0.0,2,1,0.9999999999999992,0.2265312878334373,True,False,1,0,1,0,0,1,OQ
2,0.4,29,22,22,False,False,False,False,0.0,0.885,0.115,2,0,0.11971418325640085,0.2611550678882349,False,True,1,0,1,0,0,0,IR
3,0.6,5,5,5,True,False,False,False,0.0,1.0,0.0,0,0,0.0,0.024044588875266115,False,False,0,0,0,0,0,0,FD
4,0.8,17,15,15,False,False,False,False,0.0,1.0,0.0,0,0,0.2043710663816308,0.3293055854566983,False,False,1,0,0,0,0,0,PA
5,1.0,19,17,16,True,True,False,False,0.0,0.6970000000000001,0.303,0,0,0.10946730608371076,0.1607957282772401,False,False,0,0,0,0,0,1,PF
1,0.16666666666666666,92,59,53,True,False,False,False,0.057,0.857,0.086,1,2,0.9999999999999996,0.4100763989267521,True,False,0,0,0,0,0,1,OQ
2,0.3333333333333333,60,42,41,False,False,False,False,0.0,0.971,0.028999999999999998,0,2,0.25634084831632625,0.4097753750836815,False,False,0,0,0,1,0,1,PA
3,0.5,76,57,55,True,False,False,False,0.07400000000000001,0.795,0.13,4,3,0.3853843692244095,0.5252330916277274,False,False,1,0,1,0,0,0,RQ
4,0.6666666666666666,14,14,14,False,False,False,False,0.0,0.8690000000000001,0.131,0,0,0.16757388139998947,0.27661196063704635,True,False,1,0,0,0,0,0,CQ
5,0.8333333333333334,22,19,19,False,False,False,False,0.0,0.8909999999999999,0.109,0,0,0.09628898299841164,0.3178256044422432,False,False,0,0,0,0,0,0,PA
6,1.0,78,56,54,False,False,False,False,0.0,0.848,0.152,3,1,0.17923682400957647,0.3790672231196653,False,False,1,0,1,0,0,0,PA
1,0.16666666666666666,81,59,58,True,False,False,False,0.0,0.883,0.11699999999999999,1,3,0.9999999999999972,0.2743922929831624,True,False,0,0,1,0,0,0,OQ
2,0.3333333333333333,8,7,7,False,False,False,False,0.0,1.0,0.0,0,0,0.04191671238203445,0.02579691289323633,True,False,0,1,0,0,0,0,IR
3,0.5,36,28,27,True,False,False,False,0.0,0.955,0.045,0,0,0.10165908299629464,0.3178731512517904,False,False,0,0,0,0,0,0,FD
4,0.6666666666666666,29,25,25,False,False,False,False,0.0,0.9520000000000001,0.048,0,0,0.11921512671945746,0.37072119614012705,False,False,0,0,1,0,0,0,PA
5,0.8333333333333334,135,96,91,True,True,True,False,0.025,0.9129999999999999,0.061,0,1,0.273730602628861,0.41324558227829533,True,True,0,0,1,0,1,0,PF
6,1.0,8,8,8,False,False,False,False,0.0,0.7709999999999999,0.22899999999999998,0,0,0.07039171438496268,0.1764263449369854,False,False,0,0,0,0,0,0,PA FD
1,0.3333333333333333,53,39,39,True,False,False,False,0.07,0.93,0.0,0,1,0.9999999999999996,0.2501335591163139,False,False,0,0,0,0,0,0,OQ
2,0.6666666666666666,28,25,25,False,True,False,False,0.0,0.795,0.205,0,1,0.2732780402952885,0.2601815108450272,False,False,0,0,0,0,0,0,FQ PF
3,1.0,5,5,5,False,False,False,False,0.0,1.0,0.0,0,0,0.0,0.0,False,False,0,0,0,0,0,0,FD NF
1,0.25,84,56,55,True,False,False,False,0.096,0.875,0.028999999999999998,2,1,0.9999999999999998,0.2452059553653401,True,True,1,0,0,0,0,1,OQ
2,0.5,42,34,31,False,False,False,True,0.0,0.903,0.09699999999999999,2,0,0.11595730713327708,0.17754277678959993,False,False,0,0,0,0,0,1,PA
3,0.75,18,18,18,False,False,False,False,0.073,0.865,0.062,0,1,0.15447391090169807,0.1916660620299218,True,True,0,0,0,0,0,0,FQ RQ
4,1.0,18,15,15,True,False,False,False,0.0,0.6890000000000001,0.311,1,0,0.12716907685129838,0.24240134306907896,False,False,0,0,0,0,0,0,PA FD
1,0.14285714285714285,159,115,107,True,False,False,False,0.063,0.868,0.068,2,6,1.0000000000000002,0.4696437806753618,True,False,0,1,0,0,0,0,OQ
2,0.2857142857142857,51,44,43,True,False,False,False,0.087,0.7509999999999999,0.161,3,3,0.2092425580872241,0.44354775197938856,True,False,0,0,0,1,0,1,PA
3,0.42857142857142855,22,20,20,False,False,False,False,0.0,0.81,0.19,2,1,0.16349494007479226,0.3424329272407037,False,False,0,0,0,0,0,0,IR
4,0.5714285714285714,17,14,14,True,False,False,False,0.0,0.8859999999999999,0.114,0,1,0.2124821256386193,0.3463545758287776,False,False,0,0,0,0,0,0,FD
5,0.7142857142857143,138,88,85,False,False,False,False,0.057,0.841,0.102,4,6,0.2811852903530633,0.5879790995686146,False,False,0,0,1,0,0,1,PA IR
6,0.8571428571428571,56,42,42,True,True,True,False,0.063,0.782,0.155,3,3,0.24725069684576415,0.4681938344970497,False,False,1,0,0,0,0,0,FD PF
7,1.0,26,22,22,False,False,False,False,0.053,0.8009999999999999,0.146,1,2,0.13583606842036047,0.30951059628112704,False,False,0,0,0,0,0,0,PF
1,0.1,68,47,46,True,True,False,False,0.045,0.8390000000000001,0.11599999999999999,3,1,1.0,0.6015608918258958,False,False,1,0,1,0,0,1,OQ
2,0.2,45,37,34,False,False,True,False,0.027000000000000003,0.6809999999999999,0.292,8,0,0.3005959120085581,0.4042064201923965,True,False,0,0,0,0,0,0,IR
3,0.3,111,81,74,False,False,False,False,0.0,0.9059999999999999,0.094,7,0,0.391145451281448,0.5300784652864146,True,False,0,0,1,0,0,0,PA FD
4,0.4,20,17,17,False,False,False,False,0.0,0.677,0.32299999999999995,1,0,0.13045623414302973,0.18450113538180046,False,False,0,0,0,0,0,1,FD
5,0.5,66,53,53,True,True,True,True,0.04,0.723,0.237,2,2,0.30950251120504546,0.4757196405646895,False,False,1,1,0,0,0,0,FD
6,0.6,12,12,12,False,False,True,False,0.0,0.589,0.41100000000000003,1,0,0.062051680364329474,0.1017422312689486,False,False,0,0,0,0,0,0,GG
7,0.7,65,49,48,True,True,False,False,0.023,0.831,0.146,4,1,0.3727475754122688,0.5959970571560278,False,False,0,0,0,0,0,0,FD
8,0.8,3,3,3,True,False,False,False,0.0,0.465,0.535,0,0,0.0,0.030923461528444888,False,False,0,0,0,0,0,0,JK
9,0.9,7,6,6,True,True,False,False,0.0,0.46299999999999997,0.537,0,0,0.0492033227277206,0.08677659156423928,False,False,0,0,0,0,0,0,GG
10,1.0,105,75,74,True,True,False,False,0.02,0.82,0.16,2,1,0.3843825095634531,0.5453614317323575,False,False,0,0,0,0,0,0,FQ
1,0.3333333333333333,11,11,11,True,True,False,False,0.157,0.653,0.18899999999999997,0,0,1.0000000000000009,0.17066984602681876,False,False,1,0,0,0,0,0,OQ
2,0.6666666666666666,16,15,15,False,False,False,False,0.0,0.888,0.11199999999999999,1,0,0.18179930715958728,0.20190068836237834,False,False,0,0,0,0,0,0,PA
3,1.0,1,1,1,True,True,False,False,0.0,0.28600000000000003,0.7140000000000001,0,0,0.0,0.053927600114505835,False,False,0,0,0,0,0,0,PF
1,0.2,148,95,86,True,True,False,False,0.021,0.894,0.086,6,1,1.0000000000000002,0.4473154800579484,False,False,0,1,0,0,0,0,FD OQ
2,0.4,129,83,77,False,False,False,False,0.11199999999999999,0.7879999999999999,0.1,3,4,0.33503675024031354,0.3856104325577103,False,False,0,0,1,0,0,0,PA
3,0.6,59,43,41,False,False,False,False,0.0,0.867,0.133,3,1,0.3473396320566007,0.3601993510368113,False,False,0,0,0,0,0,1,PA
4,0.8,7,7,7,True,True,True,False,0.0,0.235,0.765,1,0,0.07157591685915622,0.13027203674560814,False,False,0,0,0,0,0,0,GG
5,1.0,8,8,8,True,True,True,False,0.0,0.284,0.716,1,0,0.03168491880842697,0.09540091433204732,False,False,0,0,0,0,0,0,GG
1,0.14285714285714285,54,40,39,True,False,False,True,0.035,0.735,0.23,2,2,1.0,0.16353189691344974,False,False,1,0,0,1,0,0,OQ
2,0.2857142857142857,63,48,46,False,False,False,False,0.068,0.785,0.147,1,7,0.09319316054778284,0.3555865089456484,True,False,0,0,1,0,0,1,IR PA
3,0.42857142857142855,24,20,19,False,False,False,True,0.0,0.935,0.065,1,0,0.11037233844049324,0.22990540836491144,False,False,0,0,1,0,0,0,CQ
4,0.5714285714285714,28,23,23,True,True,False,False,0.051,0.746,0.203,0,0,0.15601687647918264,0.21174952821835324,False,False,0,0,0,0,0,1,PF
5,0.7142857142857143,18,16,15,True,True,False,False,0.095,0.456,0.449,1,1,0.04184544799963201,0.2293009503030268,False,False,0,0,0,0,0,0,PF
6,0.8571428571428571,26,24,24,False,False,False,False,0.055999999999999994,0.882,0.062,0,1,0.19569119261267687,0.30886826893790936,False,False,1,0,0,1,0,0,PA
7,1.0,19,16,15,False,False,False,False,0.0,0.804,0.196,1,2,0.057025567418706485,0.3402340534589396,False,False,0,0,0,0,0,0,PA
1,0.125,33,29,29,True,False,False,False,0.057,0.943,0.0,1,1,0.999999999999999,0.4129013517283221,True,False,0,0,0,0,0,0,OQ
