Thank,Exclamation_Mark,Feedback,Sentiment_Scores_NEG,Sentiment_Scores_NEU,Sentiment_Scores_POS,Opinion_Lexicon_POS,Opinion_Lexicon_NEG
False,False,False,0.135,0.7,0.165,0,1
False,False,False,0.0,0.952,0.048,1,0
False,False,False,0.0,1.0,0.0,0,1
False,False,False,0.041,0.795,0.164,3,2
True,False,False,0.007,0.845,0.148,3,3
True,False,False,0.09,0.569,0.341,1,1
True,False,False,0.0,0.652,0.348,2,1
False,True,False,0.254,0.673,0.073,1,2
False,False,False,0.083,0.917,0.0,2,1
False,False,False,0.0,0.885,0.115,2,0
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.0,1.0,0.0,0,0
True,False,False,0.0,0.697,0.303,0,0
False,False,False,0.057,0.857,0.086,1,2
False,False,False,0.0,0.971,0.029,0,2
False,False,False,0.074,0.795,0.13,4,3
False,False,False,0.0,0.869,0.131,0,0
False,False,False,0.0,0.891,0.109,0,0
False,False,False,0.0,0.848,0.152,3,1
False,False,False,0.0,0.883,0.117,1,3
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.0,0.955,0.045,0,0
False,False,False,0.0,0.952,0.048,0,0
True,True,False,0.025,0.913,0.061,0,1
False,False,False,0.0,0.771,0.229,0,0
False,False,False,0.07,0.93,0.0,0,1
True,False,False,0.0,0.795,0.205,0,1
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.096,0.875,0.029,2,1
False,False,True,0.0,0.903,0.097,2,0
False,False,False,0.073,0.865,0.062,0,1
False,False,False,0.0,0.689,0.311,1,0
False,False,False,0.063,0.868,0.068,2,6
False,False,False,0.087,0.751,0.161,3,3
False,False,False,0.0,0.81,0.19,2,1
False,False,False,0.0,0.886,0.114,0,1
False,False,False,0.057,0.841,0.102,4,6
True,True,False,0.063,0.782,0.155,3,3
False,False,False,0.053,0.801,0.146,1,2
True,False,False,0.045,0.839,0.116,3,1
False,True,False,0.027,0.681,0.292,8,0
False,False,False,0.0,0.906,0.094,7,0
False,False,False,0.0,0.677,0.323,1,0
True,True,True,0.04,0.723,0.237,2,2
False,True,False,0.0,0.589,0.411,1,0
True,False,False,0.023,0.831,0.146,4,1
False,False,False,0.0,0.465,0.535,0,0
True,False,False,0.0,0.463,0.537,0,0
True,False,False,0.02,0.82,0.16,2,1
True,False,False,0.157,0.653,0.189,0,0
False,False,False,0.0,0.888,0.112,1,0
True,False,False,0.0,0.286,0.714,0,0
True,False,False,0.021,0.894,0.086,6,1
False,False,False,0.112,0.788,0.1,3,4
False,False,False,0.0,0.867,0.133,3,1
True,True,False,0.0,0.235,0.765,1,0
True,True,False,0.0,0.284,0.716,1,0
