Absolute_Position,Normalized_Position,Utterance_Length,Utterance_Length_Unique,Utterance_Length_Stemmed_Unique,Is_Starter
1,0.3333333333333333,28,26,26,True
2,0.6666666666666666,60,54,52,False
3,1.0,7,7,7,True
1,0.2,58,46,44,True
2,0.4,262,162,142,False
3,0.6,16,13,11,True
4,0.8,28,23,20,False
5,1.0,23,22,22,False
1,0.2,42,31,30,True
2,0.4,29,22,22,False
3,0.6,5,5,5,True
4,0.8,17,15,15,False
5,1.0,19,17,16,True
1,0.16666666666666666,92,59,53,True
2,0.3333333333333333,60,42,41,False
3,0.5,76,57,55,True
4,0.6666666666666666,14,14,14,False
5,0.8333333333333334,22,19,19,False
6,1.0,78,56,54,False
1,0.16666666666666666,81,59,58,True
2,0.3333333333333333,8,7,7,False
3,0.5,36,28,27,True
4,0.6666666666666666,29,25,25,False
5,0.8333333333333334,135,96,91,True
6,1.0,8,8,8,False
1,0.3333333333333333,53,39,39,True
2,0.6666666666666666,28,25,25,False
3,1.0,5,5,5,False
1,0.25,84,56,55,True
2,0.5,42,34,31,False
3,0.75,18,18,18,False
4,1.0,18,15,15,True
1,0.14285714285714285,159,115,107,True
2,0.2857142857142857,51,44,43,True
3,0.42857142857142855,22,20,20,False
4,0.5714285714285714,17,14,14,True
5,0.7142857142857143,138,88,85,False
6,0.8571428571428571,56,42,42,True
7,1.0,26,22,22,False
1,0.1,68,47,46,True
2,0.2,45,37,34,False
3,0.3,111,81,74,False
4,0.4,20,17,17,False
5,0.5,66,53,53,True
6,0.6,12,12,12,False
7,0.7,65,49,48,True
8,0.8,3,3,3,True
9,0.9,7,6,6,True
10,1.0,105,75,74,True
1,0.3333333333333333,11,11,11,True
2,0.6666666666666666,16,15,15,False
3,1.0,1,1,1,True
1,0.2,148,95,86,True
2,0.4,129,83,77,False
3,0.6,59,43,41,False
4,0.8,7,7,7,True
5,1.0,8,8,8,True
1,0.14285714285714285,54,40,39,True
2,0.2857142857142857,63,48,46,False
3,0.42857142857142855,24,20,19,False
4,0.5714285714285714,28,23,23,True
5,0.7142857142857143,18,16,15,True
6,0.8571428571428571,26,24,24,False
7,1.0,19,16,15,False
1,0.125,33,29,29,True
2,0.25,66,53,53,False
3,0.375,31,21,21,True
4,0.5,41,34,33,False
5,0.625,19,16,16,True
6,0.75,88,60,57,False
7,0.875,4,3,3,True
8,1.0,11,10,10,False
1,0.2,11,11,10,True
2,0.4,89,56,55,False
3,0.6,7,5,5,False
4,0.8,68,52,48,False
5,1.0,95,71,62,True
1,0.1,452,298,279,True
2,0.2,161,84,83,False
3,0.3,20,19,19,True
4,0.4,128,47,47,False
5,0.5,46,33,33,True
6,0.6,38,35,33,False
7,0.7,15,12,12,True
8,0.8,93,40,40,False
9,0.9,48,42,42,True
10,1.0,5,4,4,False
1,0.3333333333333333,55,43,43,True
2,0.6666666666666666,25,20,20,False
3,1.0,10,8,8,True
1,0.125,46,38,36,True
2,0.25,233,146,134,False
3,0.375,49,40,40,True
4,0.5,98,64,60,False
5,0.625,21,20,20,False
6,0.75,5,5,5,True
7,0.875,8,7,7,True
8,1.0,1,1,1,False
1,0.2,301,177,164,True
2,0.4,128,83,77,False
3,0.6,79,55,53,True
4,0.8,87,66,62,False
5,1.0,128,84,77,True
1,0.125,62,44,43,True
2,0.25,15,15,15,False
3,0.375,27,19,18,True
4,0.5,96,60,59,False
5,0.625,99,75,70,False
6,0.75,27,23,23,True
7,0.875,31,28,28,False
8,1.0,44,37,36,True
1,0.3333333333333333,72,57,56,True
2,0.6666666666666666,61,43,39,False
3,1.0,39,35,35,True
1,0.25,45,32,31,True
2,0.5,28,26,26,False
3,0.75,17,15,15,True
4,1.0,23,20,20,False
1,0.3333333333333333,9,9,9,True
2,0.6666666666666666,35,32,32,False
3,1.0,9,9,9,False
1,0.25,50,38,36,True
2,0.5,139,86,77,False
3,0.75,72,51,51,False
4,1.0,203,110,103,False
1,0.25,94,59,58,True
2,0.5,66,47,39,False
3,0.75,28,20,20,False
4,1.0,38,31,31,False
1,0.2,52,41,40,True
2,0.4,25,24,24,False
3,0.6,111,83,78,True
4,0.8,49,40,37,False
5,1.0,22,15,15,True
1,0.25,65,53,52,True
2,0.5,39,35,35,False
3,0.75,2,2,2,True
4,1.0,21,19,19,False
1,0.25,245,112,109,True
2,0.5,40,35,34,False
3,0.75,17,17,17,True
4,1.0,10,9,9,False
1,0.3333333333333333,18,18,17,True
2,0.6666666666666666,39,30,29,False
3,1.0,3,3,3,True
1,0.3333333333333333,759,241,231,True
2,0.6666666666666666,45,37,32,False
3,1.0,6,6,6,True
1,0.3333333333333333,60,47,47,True
2,0.6666666666666666,177,125,110,False
3,1.0,7,7,7,True
1,0.25,33,29,26,True
2,0.5,212,118,103,False
3,0.75,50,42,42,False
4,1.0,49,36,31,False
1,0.1111111111111111,64,47,47,True
2,0.2222222222222222,18,17,17,False
3,0.3333333333333333,18,16,16,False
4,0.4444444444444444,3,3,3,False
5,0.5555555555555556,3,3,3,False
6,0.6666666666666666,87,59,56,False
7,0.7777777777777778,51,37,37,True
8,0.8888888888888888,6,5,5,True
9,1.0,8,8,8,True
1,0.2,28,26,26,True
2,0.4,62,52,51,False
3,0.6,16,13,13,False
4,0.8,10,10,9,True
5,1.0,11,11,11,False
1,0.25,140,97,88,True
2,0.5,40,28,28,False
3,0.75,92,57,54,True
4,1.0,30,26,26,False
1,0.14285714285714285,253,149,137,True
2,0.2857142857142857,94,66,62,False
3,0.42857142857142855,43,37,35,True
4,0.5714285714285714,47,31,31,False
5,0.7142857142857143,70,53,52,True
6,0.8571428571428571,34,29,29,False
7,1.0,10,9,8,True
1,0.3333333333333333,40,32,31,True
2,0.6666666666666666,32,28,28,False
3,1.0,18,16,16,True
1,0.25,61,47,46,True
2,0.5,34,31,31,False
3,0.75,42,34,33,False
4,1.0,41,35,33,True
1,0.25,43,34,33,True
2,0.5,49,37,35,False
3,0.75,26,20,20,True
4,1.0,35,32,30,False
1,0.16666666666666666,69,45,43,True
2,0.3333333333333333,15,14,14,False
3,0.5,52,37,35,True
4,0.6666666666666666,16,15,15,False
5,0.8333333333333334,20,19,19,True
6,1.0,30,23,22,False
1,0.3333333333333333,22,18,16,True
2,0.6666666666666666,28,24,23,False
3,1.0,5,5,5,True
1,0.2,67,50,48,True
2,0.4,33,27,26,False
3,0.6,47,39,38,False
4,0.8,24,21,21,True
5,1.0,22,18,18,True
1,0.3333333333333333,58,40,37,True
2,0.6666666666666666,44,31,30,False
3,1.0,141,87,82,False
1,0.3333333333333333,94,63,59,True
2,0.6666666666666666,73,54,51,False
3,1.0,16,15,15,True
1,0.3333333333333333,11,10,10,True
2,0.6666666666666666,124,83,76,False
3,1.0,9,8,7,True
1,0.125,244,154,138,True
2,0.25,51,41,40,False
3,0.375,55,40,39,True
4,0.5,42,28,27,False
5,0.625,30,25,25,True
6,0.75,26,21,20,False
7,0.875,8,8,8,True
8,1.0,37,32,32,False
1,0.2,45,43,41,True
2,0.4,33,28,27,False
3,0.6,23,20,20,True
4,0.8,85,64,60,False
5,1.0,11,9,9,False
1,0.2,16,15,15,True
2,0.4,11,10,10,False
3,0.6,16,15,15,False
4,0.8,15,12,12,False
5,1.0,17,15,15,True
1,0.25,72,54,52,True
2,0.5,107,77,66,False
3,0.75,29,25,25,True
4,1.0,26,22,22,False
1,0.16666666666666666,69,46,44,True
2,0.3333333333333333,51,41,41,False
3,0.5,5,5,5,True
4,0.6666666666666666,103,75,68,False
5,0.8333333333333334,6,5,5,True
6,1.0,80,68,63,False
1,0.3333333333333333,216,139,128,True
2,0.6666666666666666,73,51,49,False
3,1.0,11,10,10,True
1,0.3333333333333333,155,84,79,True
2,0.6666666666666666,111,83,75,False
3,1.0,20,17,17,True
1,0.25,136,99,92,True
2,0.5,38,30,30,False
3,0.75,38,31,28,True
4,1.0,28,24,24,False
1,0.2,71,56,53,True
2,0.4,110,85,78,False
3,0.6,23,21,21,True
4,0.8,50,44,43,False
5,1.0,18,16,16,True
1,0.3333333333333333,92,68,64,True
2,0.6666666666666666,51,41,40,False
3,1.0,63,48,48,False
1,0.3333333333333333,154,96,91,True
2,0.6666666666666666,42,33,33,False
3,1.0,8,7,7,True
1,0.2,24,18,18,True
2,0.4,60,47,42,False
3,0.6,34,25,25,True
4,0.8,120,86,77,False
5,1.0,3,2,2,False
1,0.16666666666666666,34,23,23,True
2,0.3333333333333333,79,60,56,False
3,0.5,76,39,39,False
4,0.6666666666666666,6,4,4,True
5,0.8333333333333334,4,4,4,False
6,1.0,6,6,6,False
1,0.16666666666666666,198,102,91,True
2,0.3333333333333333,32,31,30,False
