Model,Accuracy,F1,
RandF,0.6369,0.7199,0.6784
AdaBoost,0.6469,0.7082,0.67755
SVM,0.6218,0.6877,0.65475
50SVM-50AdaB,0.6451,0.7102,0.67765
40SVM-60AdaB,0.6511,0.7117,0.6814
50SVM-50RandF,0.6497,0.7115,0.6806
40SVM-60RandF,0.6472,0.7105,0.67885
50AdaB-50RandF,0.6529,0.7165,0.6847
40AdaB-60RandF,0.6513,0.7143,0.6828
30SVM-70RandF,0.6462,0.7259,0.68605
30SVM-70AdaB,0.647,0.7127,0.67985
60SVM-40RandF,0.6435,0.7046,0.67405
60AdaB-40RandF,0.6564,0.7162,0.6863
70AdaB-30RandF,0.6589,0.7158,0.68735
80AdaB-20RandF,0.6519,0.7141,0.683
75AdaB-25RandF,0.6455,0.7108,0.67815
65AdaB-35RandF,0.6538,0.7163,0.68505
55AdaB-45RandF,0.6409,0.7042,0.67255
45AdaB-55RandF,0.6578,0.7198,0.6888
35AdaB-65RandF,0.6539,0.7181,0.686
